word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos
humanity,B1,C1,noun,noun
humble,B2,C1,adjective,adjective
humorous,B1,B2,adjective,adjective
hundred,A2,A1,number,number
hunger,B1,B2,noun,noun
id,A2,B2,noun,noun
identification,B2,C1,noun,noun
identify,B2,A2,verb,verb
ideology,B2,C1,noun,noun
idiot,B2,C1,noun,noun
ignorance,B2,C1,noun,noun
illegal,A2,B1,adjective,adjective
illness,B1,A2,noun,noun
imagery,B2,C1,noun,noun
imagination,A2,B2,noun,noun
immediately,B1,A2,adverb,adverb
immigrant,B2,B1,noun,noun
immigration,B1,B2,noun,noun
impatient,A2,B2,adjective,adjective
importance,A2,B1,noun,noun
impress,A2,B2,verb,verb
imprison,B2,C1,verb,verb
imprisonment,B2,C1,noun,noun
improve,A2,A1,verb,verb
inadequate,B2,C1,adjective,adjective
incident,B1,B2,noun,noun
include,A2,A1,verb,verb
including,B1,A2,preposition,preposition
income,B1,B2,noun,noun
incorrect,B1,B2,adjective,adjective
increasingly,B1,B2,adverb,adverb
incredible,B1,A2,adjective,adjective
incur,B2,C1,verb,verb
indeed,A2,B1,adverb,adverb
independence,A2,B2,noun,noun
independent,B1,A2,adjective,adjective
indicate,A2,B1,verb,verb
indoor,A2,B1,adjective,adjective
indulge,B2,C1,verb,verb
industrial,B1,B2,adjective,adjective
industry,B1,A2,noun,noun
inevitable,B1,B2,adjective,adjective
infant,B2,C1,noun,noun
infect,B2,C1,verb,verb
infection,B1,B2,noun,noun
influential,B2,C1,adjective,adjective
inform,B1,B2,verb,verb
informal,B2,A2,adjective,adjective
inhabitant,B1,B2,noun,noun
initially,B1,B2,adverb,adverb
inject,B1,C1,verb,verb
injection,B2,C1,noun,noun
injure,A2,B1,verb,verb
injured,B2,B1,adjective,adjective
injury,B1,A2,noun,noun
ink,B1,B2,noun,noun
inner,A2,B2,adjective,adjective
insight,B1,B2,noun,noun
insist,B1,B2,verb,verb
inspect,B2,C1,verb,verb
inspection,B1,C1,noun,noun
inspiration,A2,C1,noun,noun
inspire,B1,B2,verb,verb
instance,B1,B2,noun,noun
instant,A2,B2,adjective,adjective
instinct,B2,C1,noun,noun
institute,B1,B2,noun,noun
instruct,B2,C1,verb,verb
instruction,B1,A2,noun,noun
instructor,B1,A2,noun,noun
insufficient,B2,C1,adjective,adjective
insurance,B1,B2,noun,noun
intelligence,A2,B1,noun,noun
intense,B1,B2,adjective,adjective
intensive,B1,C1,adjective,adjective
interact,B1,B2,verb,verb
interaction,B1,B2,noun,noun
interactive,B2,C1,adjective,adjective
interfere,B2,C1,verb,verb
intermediate,B1,C1,adjective,adjective
internal,B1,B2,adjective,adjective
interrupt,B1,B2,verb,verb
interval,B1,B2,noun,noun
intimate,B2,C1,adjective,adjective
introduction,B1,A2,noun,noun
invade,A2,B2,verb,verb
invasion,B1,B2,noun,noun
investigate,B2,B1,verb,verb
investigation,B1,B2,noun,noun
investigator,B2,C1,noun,noun
invisible,B2,C1,adjective,adjective
invitation,B1,A2,noun,noun
invoke,B2,C1,verb,verb
involve,B1,A2,verb,verb
involvement,B2,C1,noun,noun
ironically,B2,C1,adverb,adverb
isolation,B1,C1,noun,noun
item,A1,A2,noun,noun
jazz,B1,A2,noun,noun
jet,A1,B2,noun,noun
journalist,B1,A2,noun,noun
journey,A2,A1,noun,noun
joy,A2,B2,noun,noun
junior,A2,B2,adjective,adjective
justice,B1,B2,noun,noun
keen,B2,B1,adjective,adjective
kill,A1,A2,verb,verb
king,A1,A2,noun,noun
kingdom,A2,C1,noun,noun
kit,A2,B2,noun,noun
knee,A1,A2,noun,noun
knife,A1,A2,noun,noun
lab,B1,A2,noun,noun
ladder,B1,B2,noun,noun
lady,A1,A2,noun,noun
landlord,B1,C1,noun,noun
landscape,A2,B2,noun,noun
lane,A2,B2,noun,noun
lap,B2,C1,noun,noun
laptop,B2,A2,noun,noun
largely,B1,B2,adverb,adverb
laser,B2,C1,noun,noun
lately,B1,B2,adverb,adverb
laughter,B1,A2,noun,noun
lawn,B2,C1,noun,noun
lawsuit,B2,C1,noun,noun
lazy,A1,A2,adjective,adjective
leader,A1,A2,noun,noun
leadership,B1,B2,noun,noun
leaf,A1,B1,noun,noun
league,B1,B2,noun,noun
learning,B2,A2,noun,noun
leather,A2,B1,noun,noun
legendary,B2,C1,adjective,adjective
legislation,B2,C1,noun,noun
legislative,B2,C1,adjective,adjective
legislature,B2,C1,noun,noun
legitimate,B2,C1,adjective,adjective
leisure,A2,B1,noun,noun
lengthy,B2,C1,adjective,adjective
liberation,B1,C1,noun,noun
liberty,A2,C1,noun,noun
lifelong,B1,C1,adjective,adjective
limb,B2,C1,noun,noun
limitation,B1,B2,noun,noun
limited,B1,B2,adjective,adjective
linger,B2,C1,verb,verb
lip,A2,B1,noun,noun
listener,B2,A2,noun,noun
literary,B1,B2,adjective,adjective
lively,A2,B2,adjective,adjective
liver,B1,C1,noun,noun
logic,B1,C1,noun,noun
logical,A2,B2,adjective,adjective
logo,B1,B2,noun,noun
lonely,A1,B1,adjective,adjective
loose,A2,B2,adjective,adjective
lorry,B1,A2,noun,noun
lose,A2,A1,verb,verb
lottery,B1,B2,noun,noun
lovely,A1,A2,adjective,adjective
loyal,B1,B2,adjective,adjective
loyalty,B1,C1,noun,noun
luck,A1,A2,noun,noun
lucky,A1,A2,adjective,adjective
lung,B1,B2,noun,noun
mad,A2,B1,adjective,adjective
magical,B1,C1,adjective,adjective
magnificent,B1,B2,adjective,adjective
main,B1,A1,adjective,adjective
mainly,A2,B1,adverb,adverb
maintain,B1,B2,verb,verb
maintenance,B1,C1,noun,noun
majority,B1,B2,noun,noun
make-up,A2,B2,noun,noun
mall,A2,B1,noun,noun
manipulate,B2,C1,verb,verb
marine,B1,C1,adjective,adjective
marketing,B2,B1,noun,noun
married,A2,A1,adjective,adjective
mask,B2,C1,noun,noun
massacre,B2,C1,noun,noun
massive,B1,B2,adjective,adjective
mathematical,B2,C1,adjective,adjective
mathematics,B1,A2,noun,noun
mayor,B1,B2,noun,noun
meaning,A2,A1,noun,noun
meaningful,B1,C1,adjective,adjective
measurement,B1,B2,noun,noun
mechanic,B1,B2,noun,noun
mechanical,B1,B2,adjective,adjective
medal,A2,B2,noun,noun
media,B2,A2,noun,noun
medicine,A1,A2,noun,noun
meditation,B1,C1,noun,noun
melody,B2,C1,noun,noun
melt,B1,B2,verb,verb
member,A2,A1,noun,noun
membership,B1,B2,noun,noun
memorable,B1,B2,adjective,adjective
memorial,B2,C1,noun,noun
memory,A1,A2,noun,noun
mentor,B2,C1,noun,noun
menu,A2,A1,noun,noun
merchant,B1,C1,noun,noun
mercy,B2,C1,noun,noun
mere,B1,C1,adjective,adjective
merely,B1,C1,adverb,adverb
merge,B2,C1,verb,verb
merger,B2,C1,noun,noun
midnight,A2,A1,noun,noun
midst,B2,C1,noun,noun
migration,B2,C1,noun,noun
mile,B1,A1,noun,noun
mill,B2,C1,noun,noun
million,A2,A1,number,number
mineral,B1,B2,noun,noun
minor,B1,B2,adjective,adjective
minority,B1,B2,noun,noun
miracle,B1,C1,noun,noun
miserable,B1,B2,adjective,adjective
misery,B1,C1,noun,noun
misleading,B2,C1,adjective,adjective
missile,B2,C1,noun,noun
mission,B1,B2,noun,noun
mixture,B2,B1,noun,noun
mobility,B2,C1,noun,noun
moderate,B1,C1,adjective,adjective
modern,A2,A1,adjective,adjective
modification,B2,C1,noun,noun
modify,B1,B2,verb,verb
monk,B1,C1,noun,noun
monkey,A1,A2,noun,noun
monster,B1,B2,noun,noun
monument,B1,B2,noun,noun
mood,A2,B1,noun,noun
moon,A1,A2,noun,noun
morality,B2,C1,noun,noun
moreover,B1,B2,adverb,adverb
mosque,A2,B2,noun,noun
motivate,B1,B2,verb,verb
motivation,B1,B2,noun,noun
motive,B1,C1,noun,noun
motorcycle,B1,A2,noun,noun
motorist,B2,C1,noun,noun
movement,B1,A2,noun,noun
museum,A2,A1,noun,noun
musician,A1,A2,noun,noun
mutual,B1,C1,adjective,adjective
mysterious,A2,B2,adjective,adjective
mystery,A2,B1,noun,noun
myth,B1,B2,noun,noun
naked,B1,B2,adjective,adjective
nasty,B1,B2,adjective,adjective
nation,A2,B1,noun,noun
natural,A2,A1,adjective,adjective
naval,B2,C1,adjective,adjective
necessarily,B2,B1,adverb,adverb
neck,A1,A2,noun,noun
negotiate,B1,B2,verb,verb
negotiation,B1,B2,noun,noun
network,B1,A2,noun,noun
neutral,B1,B2,adjective,adjective
nevertheless,B1,B2,adverb,adverb
newly,B1,B2,adverb,adverb
next to,A2,A1,preposition,preposition
no one,A2,A1,pronoun,pronoun
noble,B2,C1,adjective,adjective
nobody,A2,A1,pronoun,pronoun
nod,B2,C1,verb,verb
noise,A1,A2,noun,noun
nomination,B2,C1,noun,noun
nominee,B2,C1,noun,noun
none,B1,A2,pronoun,pronoun
nonetheless,B1,C1,adverb,adverb
nonsense,B1,C1,noun,noun
noon,A2,C1,noun,noun
normally,B1,A2,adverb,adverb
notebook,A1,B2,noun,noun
notion,B1,B2,noun,noun
notorious,B1,C1,adjective,adjective
novelist,B1,B2,noun,noun
nowadays,A2,B2,adverb,adverb
nowhere,B1,A2,adverb,adverb
numerous,B1,B2,adjective,adjective
nursery,B2,C1,noun,noun
nut,B2,A2,noun,noun
nutrition,B1,B2,noun,noun
objection,B1,C1,noun,noun
observation,B1,B2,noun,noun
observe,B1,B2,verb,verb
obsess,B2,C1,verb,verb
obsession,B2,C1,noun,noun
obstacle,B1,B2,noun,noun
obtain,B1,B2,verb,verb
occasional,B1,C1,adjective,adjective
occasionally,B1,B2,adverb,adverb
occupation,A2,B2,noun,noun
occupy,B1,B2,verb,verb
ocean,B1,A2,noun,noun
odd,B2,B1,adjective,adjective
offensive,B1,B2,adjective,adjective
officer,A1,A2,noun,noun
onion,A2,A1,noun,noun
opening,B1,B2,noun,noun
opera,A1,B2,noun,noun
operate,A2,B2,verb,verb
opinion,A2,A1,noun,noun
oppose,A2,B2,verb,verb
opposition,B1,B2,noun,noun
optimism,B2,C1,noun,noun
option,B1,A2,noun,noun
orchestra,B1,B2,noun,noun
ordinary,B1,A2,adjective,adjective
organ,B1,B2,noun,noun
organic,B1,B2,adjective,adjective
origin,B1,B2,noun,noun
originally,B2,B1,adverb,adverb
originate,B2,C1,verb,verb
otherwise,B1,B2,adverb,adverb
ours,A1,B1,pronoun,pronoun
outbreak,B2,C1,noun,noun
outer,B1,B2,adjective,adjective
outing,B2,C1,noun,noun
outlet,B2,C1,noun,noun
outlook,B2,C1,noun,noun
outsider,B2,C1,noun,noun
outstanding,B1,B2,adjective,adjective
overcome,B1,B2,verb,verb
overlook,B2,C1,verb,verb
overly,B2,C1,adverb,adverb
overnight,B1,B2,adverb,adverb
overturn,B2,C1,verb,verb
overwhelm,B1,C1,verb,verb
overwhelming,B1,C1,adjective,adjective
owe,B1,B2,verb,verb
owner,A1,A2,noun,noun
oxygen,B1,B2,noun,noun
pad,B2,C1,noun,noun
pain,B1,A2,noun,noun
palace,A1,A2,noun,noun
palm,B1,B2,noun,noun
pan,A2,B1,noun,noun
pants,A1,A2,noun,noun
parental,B1,C1,adjective,adjective
parking,B1,A2,noun,noun
partial,B1,C1,adjective,adjective
participant,B1,B2,noun,noun
particular,B2,A2,adjective,adjective
partly,A2,B2,adverb,adverb
passage,A2,B2,noun,noun
passive,B1,C1,adjective,adjective
passport,B1,A1,noun,noun
password,B1,B2,noun,noun
pastor,B2,C1,noun,noun
patch,B2,C1,noun,noun
path,A2,B1,noun,noun
patience,B1,B2,noun,noun
patron,B2,C1,noun,noun
pattern,B1,A2,noun,noun
payment,B2,B1,noun,noun
peace,A1,A2,noun,noun
peaceful,A2,B1,adjective,adjective
peak,B2,C1,noun,noun
peculiar,B1,C1,adjective,adjective
penny,B1,A2,noun,noun
pepper,A2,A1,noun,noun
per,B1,A2,preposition,preposition
percentage,B2,B1,noun,noun
perfect,A2,A1,adjective,adjective
perfectly,A2,B1,adverb,adverb
performance,A2,B1,noun,noun
permanent,B1,B2,adjective,adjective
permanently,B1,B2,adverb,adverb
persist,B2,C1,verb,verb
persistent,B2,C1,adjective,adjective
personnel,B2,C1,noun,noun
pet,A1,A2,noun,noun
phenomenon,B1,B2,noun,noun
philosopher,B1,C1,noun,noun
philosophical,B2,C1,adjective,adjective
philosophy,B1,B2,noun,noun
photographer,A2,B1,noun,noun
photography,A2,B1,noun,noun
phrase,B1,A1,noun,noun
physician,B2,C1,noun,noun
physics,B1,A2,noun,noun
pill,A2,B2,noun,noun
pirate,B2,C1,noun,noun
pit,B1,C1,noun,noun
pity,A2,B2,noun,noun
plain,B1,B2,adjective,adjective
planning,B2,B1,noun,noun
platform,B1,A2,noun,noun
plead,B2,C1,verb,verb
pleasant,A2,B1,adjective,adjective
pleasure,A1,B1,noun,noun
pocket,A1,A2,noun,noun
poem,A1,B1,noun,noun
pole,B1,C1,noun,noun
police,A2,A1,noun,noun
policeman,A2,A1,noun,noun
political,A2,B1,adjective,adjective
pollution,A1,A2,noun,noun
pond,B1,C1,noun,noun
popular,A2,A1,adjective,adjective
portrait,A2,B1,noun,noun
possess,B1,B2,verb,verb
possession,B1,A2,noun,noun
possibility,B1,A2,noun,noun
possible,A2,A1,adjective,adjective
possibly,A2,B1,adverb,adverb
poster,A1,A2,noun,noun
postpone,B2,C1,verb,verb
pour,A2,B1,verb,verb
powerful,A2,B1,adjective,adjective
pray,A1,B1,verb,verb
precious,B1,B2,adjective,adjective
precise,A2,B2,adjective,adjective
prediction,A2,B1,noun,noun
prefer,A2,A1,verb,verb
preference,B1,B2,noun,noun
pregnant,B1,B2,adjective,adjective
prejudice,B1,C1,noun,noun
preliminary,B2,C1,adjective,adjective
preparation,B1,B2,noun,noun
prepare,A2,A1,verb,verb
prescribe,B2,C1,verb,verb
prescription,B1,C1,noun,noun
presence,B1,B2,noun,noun
preservation,B1,C1,noun,noun
preserve,B1,B2,verb,verb
presidency,B2,C1,noun,noun
president,B1,A2,noun,noun
presidential,B2,C1,adjective,adjective
pressure,A2,B1,noun,noun
prestigious,B2,C1,adjective,adjective
presumably,B2,C1,adverb,adverb
pretend,A2,B1,verb,verb
prevail,B2,C1,verb,verb
prevention,B2,C1,noun,noun
previously,B2,B1,adverb,adverb
pride,A2,B2,noun,noun
primarily,B1,B2,adverb,adverb
primary,B2,B1,adjective,adjective
prince,A1,B1,noun,noun
princess,A1,B1,noun,noun
principle,B1,B2,noun,noun
prison,B1,A2,noun,noun
privacy,B1,B2,noun,noun
private,A2,B1,adjective,adjective
privilege,B2,C1,noun,noun
prize,B1,A2,noun,noun
probability,B1,B2,noun,noun
probably,A2,A1,adverb,adverb
proceed,B1,B2,verb,verb
proclaim,B1,C1,verb,verb
product,A2,A1,noun,noun
production,A2,B1,noun,noun
productive,B1,C1,adjective,adjective
professor,B1,A2,noun,noun
profile,B2,A2,noun,noun
profit,B2,B1,noun,noun
profitable,B2,C1,adjective,adjective
progressive,A2,B2,adjective,adjective
projection,B2,C1,noun,noun
prominent,B1,C1,adjective,adjective
promotion,B1,B2,noun,noun
proof,B1,B2,noun,noun
proper,A2,B1,adjective,adjective
proportion,B1,B2,noun,noun
proposal,B1,B2,noun,noun
propose,B1,B2,verb,verb
prosecute,B2,C1,verb,verb
prosperity,B1,C1,noun,noun
protect,B1,A2,verb,verb
protection,B1,B2,noun,noun
protective,B1,C1,adjective,adjective
province,B2,C1,noun,noun
provision,B2,C1,noun,noun
psychological,B1,B2,adjective,adjective
psychologist,A2,B2,noun,noun
pub,B1,A2,noun,noun
pulse,B2,C1,noun,noun
pupil,B1,B2,noun,noun
pure,B1,B2,adjective,adjective
pursue,A2,B2,verb,verb
puzzle,B1,B2,noun,noun
qualification,B2,B1,noun,noun
quantity,B1,A2,noun,noun
query,B2,C1,noun,noun
questionnaire,B1,B2,noun,noun
quick,A2,A1,adjective,adjective
quit,A2,B1,verb,verb
quite,A2,A1,adverb,adverb
quotation,B2,B1,noun,noun
racial,B1,B2,adjective,adjective
radar,B2,C1,noun,noun
radiation,B1,B2,noun,noun
rage,B1,C1,noun,noun
rail,B1,B2,noun,noun
railway,B1,A2,noun,noun
rapid,B1,B2,adjective,adjective
rapidly,B1,B2,adverb,adverb
rat,A1,B2,noun,noun
rating,A2,B2,noun,noun
rational,B1,C1,adjective,adjective
raw,A2,B2,adjective,adjective
ray,A2,C1,noun,noun
react,B1,A2,verb,verb
reaction,B2,B1,noun,noun
readily,B2,C1,adverb,adverb
realistic,B1,B2,adjective,adjective
reasonable,B1,B2,adjective,adjective
rebuild,B1,B2,verb,verb
recall,B1,B2,verb,verb
receipt,A2,B1,noun,noun
reception,B1,A2,noun,noun
recipe,B2,A2,noun,noun
recommend,B1,A2,verb,verb
recommendation,B2,B1,noun,noun
recording,B1,A2,noun,noun
recover,B1,B2,verb,verb
recovery,B1,B2,noun,noun
reduce,B1,A2,verb,verb
reduction,B1,B2,noun,noun
referee,B1,B2,noun,noun
reference,B2,B1,noun,noun
reflect,A2,B1,verb,verb
reflection,B1,C1,noun,noun
refuge,B2,C1,noun,noun
refusal,B1,C1,noun,noun
refuse,B1,A2,verb,verb
regain,B1,C1,verb,verb
regardless,B2,C1,adverb,adverb
regime,B2,C1,noun,noun
region,B1,A2,noun,noun
regional,B1,B2,adjective,adjective
registration,B1,B2,noun,noun
regularly,A2,B1,adverb,adverb
regulation,B1,B2,noun,noun
rejection,B2,C1,noun,noun
related,B2,B1,adjective,adjective
relationship,B1,A2,noun,noun
relatively,B1,B2,adverb,adverb
relax,A2,A1,verb,verb
relaxed,A2,B1,adjective,adjective
reluctant,B2,C1,adjective,adjective
rely,B1,B2,verb,verb
remain,A2,B1,verb,verb
remainder,B1,C1,noun,noun
remains,B2,C1,noun,noun
remarkable,B1,B2,adjective,adjective
remedy,B1,C1,noun,noun
remind,A2,B1,verb,verb
reminder,B2,C1,noun,noun
remote,A2,B1,adjective,adjective
remove,B1,A2,verb,verb
renew,B1,C1,verb,verb
rental,B2,C1,noun,noun
replacement,B2,C1,noun,noun
reporter,A1,A2,noun,noun
represent,A2,B1,verb,verb
reproduce,B1,C1,verb,verb
republic,B1,C1,noun,noun
reputation,B1,B2,noun,noun
requirement,B1,B2,noun,noun
researcher,B1,A2,noun,noun
resemble,B1,C1,verb,verb
residence,B2,C1,noun,noun
residential,B1,C1,adjective,adjective
resignation,B2,C1,noun,noun
resist,B1,B2,verb,verb
resistance,B2,C1,noun,noun
resolve,B1,B2,verb,verb
resort,B1,B2,noun,noun
respond,B1,A2,verb,verb
restore,B1,B2,verb,verb
restrict,B1,B2,verb,verb
resume,B2,C1,verb,verb
retail,B1,B2,noun,noun
retain,B1,B2,verb,verb
retire,A2,B1,verb,verb
retired,A2,B1,adjective,adjective
retrieve,B2,C1,verb,verb
reveal,A2,B2,verb,verb
revelation,B2,C1,noun,noun
revenge,B2,C1,noun,noun
revision,B1,B2,noun,noun
revival,B2,C1,noun,noun
revive,B2,C1,verb,verb
revolutionary,B2,C1,adjective,adjective
rhythm,A2,B2,noun,noun
rid,B1,B2,verb,verb
ridiculous,B1,B2,adjective,adjective
rip,B2,C1,verb,verb
ritual,B2,C1,noun,noun
road,A2,A1,noun,noun
rob,A2,B2,verb,verb
robbery,A2,B2,noun,noun
role,A1,A2,noun,noun
romance,A2,B2,noun,noun
romantic,A2,B1,adjective,adjective
root,A2,B2,noun,noun
rope,A2,B1,noun,noun
rose,A1,B2,noun,noun
roughly,A2,B2,adverb,adverb
route,B2,A2,noun,noun
royal,A2,B1,adjective,adjective
rubbish,B1,A2,noun,noun
rude,A1,A2,adjective,adjective
rugby,A2,B1,noun,noun
sack,B2,C1,verb,verb
sacred,B1,C1,adjective,adjective
sailor,A1,B1,noun,noun
sake,A2,C1,noun,noun
salary,B2,A2,noun,noun
sale,A1,A2,noun,noun
salt,A2,A1,noun,noun
satellite,B1,B2,noun,noun
satisfaction,B1,B2,noun,noun
satisfied,B1,B2,adjective,adjective
satisfy,A2,B2,verb,verb
save,A1,A2,verb,verb
scale,A2,B2,noun,noun
scan,B2,B1,verb,verb
scared,B1,A2,adjective,adjective
scary,B1,A2,adjective,adjective
scholar,B1,B2,noun,noun
scholarship,B1,B2,noun,noun
scientific,A2,B1,adjective,adjective
scope,B1,C1,noun,noun
script,A2,B1,noun,noun
season,B1,A2,noun,noun
secondary,B2,B1,adjective,adjective
secondly,B2,A2,adverb,adverb
seed,A2,B1,noun,noun
seek,A2,B2,verb,verb
segment,B2,C1,noun,noun
seize,B1,C1,verb,verb
seldom,B2,C1,adverb,adverb
selection,B1,B2,noun,noun
self,A1,B2,noun,noun
senator,B2,C1,noun,noun
send,A2,A1,verb,verb
sensation,B1,C1,noun,noun
sensible,B2,B1,adjective,adjective
separation,B1,C1,noun,noun
sequence,B1,B2,noun,noun
serial,B2,C1,adjective,adjective
series,B1,A2,noun,noun
serious,B1,A2,adjective,adjective
seriously,A2,B1,adverb,adverb
servant,B2,B1,noun,noun
session,B1,B2,noun,noun
settle,B1,B2,verb,verb
settlement,B1,C1,noun,noun
settler,B1,B2,noun,noun
severe,B1,B2,adjective,adjective
severely,B1,B2,adverb,adverb
sexual,B2,B1,adjective,adjective
shade,A2,B2,noun,noun
shallow,B1,B2,adjective,adjective
shame,B1,B2,noun,noun
shatter,B2,C1,verb,verb
sheer,B1,C1,adjective,adjective
sheet,B1,A2,noun,noun
shelf,A1,B1,noun,noun
shine,A2,B1,verb,verb
shipping,B2,C1,noun,noun
shocked,B1,B2,adjective,adjective
shocking,B1,B2,adjective,adjective
shore,A2,B2,noun,noun
shortage,B1,B2,noun,noun
shortly,B1,B2,adverb,adverb
shot,A2,B2,noun,noun
shoulder,A1,A2,noun,noun
shrink,B2,C1,verb,verb
shrug,B2,C1,verb,verb
shy,A1,B1,adjective,adjective
side,A1,A2,noun,noun
sight,A1,B1,noun,noun
signature,B1,B2,noun,noun
significance,B1,B2,noun,noun
significant,A2,B2,adjective,adjective
silence,A2,B2,noun,noun
silk,B1,B2,noun,noun
silly,A2,B1,adjective,adjective
similar,A2,A1,adjective,adjective
simply,A2,B1,adverb,adverb
simultaneously,B1,C1,adverb,adverb
sir,A1,A2,noun,noun
site,A1,A2,noun,noun
situation,A2,A1,noun,noun
size,A1,A2,noun,noun
skin,B1,A2,noun,noun
skip,B2,C1,verb,verb
sky,A1,A2,noun,noun
slam,B2,C1,verb,verb
slap,B2,C1,verb,verb
slave,A2,B2,noun,noun
slavery,B1,C1,noun,noun
slip,B1,B2,verb,verb
slogan,B1,B2,noun,noun
slot,B1,C1,noun,noun
smart,A1,B1,adjective,adjective
smash,B2,C1,verb,verb
smoking,A1,A2,noun,noun
smooth,A2,B1,adjective,adjective
snap,B2,C1,verb,verb
soak,B2,C1,verb,verb
soar,B2,C1,verb,verb
soccer,A1,A2,noun,noun
social,A1,A2,adjective,adjective
software,A2,B1,noun,noun
solve,A1,A2,verb,verb
somebody,A2,A1,pronoun,pronoun
somehow,B1,B2,adverb,adverb
sometime,B1,B2,adverb,adverb
sometimes,B1,A1,adverb,adverb
soul,B1,B2,noun,noun
space,A2,A1,noun,noun
specifically,B2,B1,adverb,adverb
spectacle,B2,C1,noun,noun
spectacular,B1,B2,adjective,adjective
spectator,B1,B2,noun,noun
speech,A1,A2,noun,noun
spelling,B1,A1,noun,noun
sphere,B1,C1,noun,noun
spice,B1,B2,noun,noun
spider,B1,A2,noun,noun
spill,A2,B2,verb,verb
spiritual,B1,B2,adjective,adjective
spoil,B1,B2,verb,verb
squad,B2,C1,noun,noun
squeeze,B2,C1,verb,verb
stab,B2,C1,verb,verb
stability,B2,C1,noun,noun
stable,B1,B2,adjective,adjective
stadium,A2,B1,noun,noun
staff,A2,B1,noun,noun
stake,B2,C1,noun,noun
stall,B1,B2,noun,noun
stare,B1,B2,verb,verb
statement,A2,A1,noun,noun
statue,A2,B1,noun,noun
status,B1,B2,noun,noun
steadily,B1,B2,adverb,adverb
steady,B1,B2,adjective,adjective
steam,B1,B2,noun,noun
steel,B1,B2,noun,noun
steep,B1,B2,adjective,adjective
steer,B2,C1,verb,verb
stereotype,B2,C1,noun,noun
sticky,B1,B2,adjective,adjective
stir,B1,C1,verb,verb
stone,A1,A2,noun,noun
storage,B1,C1,noun,noun
straightforward,B2,C1,adjective,adjective
strand,B2,C1,noun,noun
strange,A1,A2,adjective,adjective
stranger,A2,B1,noun,noun
strategic,B1,C1,adjective,adjective
strength,A2,B1,noun,noun
strengthen,B1,B2,verb,verb
strict,A1,B2,adjective,adjective
striking,B2,C1,adjective,adjective
string,A2,B1,noun,noun
strive,B2,C1,verb,verb
strongly,A2,B1,adverb,adverb
stumble,B1,C1,verb,verb
stun,B1,C1,verb,verb
stunning,B1,B2,adjective,adjective
stupid,B1,A2,adjective,adjective
style,A2,A1,noun,noun
substance,B2,B1,noun,noun
substantial,B1,C1,adjective,adjective
subtle,B2,C1,adjective,adjective
success,A2,A1,noun,noun
successful,A1,A2,adjective,adjective
successfully,A2,B1,adverb,adverb
successive,B2,C1,adjective,adjective
suck,B2,C1,verb,verb
sudden,A2,B1,adjective,adjective
suddenly,B1,A2,adverb,adverb
sue,B2,C1,verb,verb
sufficient,B1,B2,adjective,adjective
suggestion,A1,A2,noun,noun
suicide,B1,C1,noun,noun
suitable,A2,B1,adjective,adjective
summary,A2,B1,noun,noun
summit,B1,C1,noun,noun
super,A1,B2,adjective,adjective
superb,B2,C1,adjective,adjective
superior,B1,C1,adjective,adjective
supervise,B2,C1,verb,verb
supervision,B2,C1,noun,noun
supervisor,B2,C1,noun,noun
supportive,B1,C1,adjective,adjective
suppose,B1,A2,verb,verb
supposedly,B1,C1,adverb,adverb
suppress,B2,C1,verb,verb
surgeon,B1,B2,noun,noun
surgery,B1,B2,noun,noun
surrender,B2,C1,verb,verb
surround,B1,B2,verb,verb
surrounding,B1,B2,adjective,adjective
surveillance,B2,C1,noun,noun
survival,B1,B2,noun,noun
survive,A2,B1,verb,verb
survivor,B1,B2,noun,noun
suspicion,B1,C1,noun,noun
suspicious,B2,C1,adjective,adjective
sustain,B2,C1,verb,verb
swallow,A2,B2,verb,verb
swear,B1,B2,verb,verb
sweater,A2,A1,noun,noun
sword,B1,C1,noun,noun
symbolic,B2,C1,adjective,adjective
sympathy,B1,B2,noun,noun
syndrome,B1,C1,noun,noun
systematic,B1,C1,adjective,adjective
tablet,B1,A2,noun,noun
tail,B2,B1,noun,noun
tale,B1,B2,noun,noun
talent,A2,B1,noun,noun
tank,B1,B2,noun,noun
teaching,B1,A2,noun,noun
technical,B2,B1,adjective,adjective
technological,B1,B2,adjective,adjective
technology,A1,A2,noun,noun
teenager,A2,A1,noun,noun
temple,A1,B2,noun,noun
temporary,B1,B2,adjective,adjective
tempt,B1,C1,verb,verb
tendency,B1,B2,noun,noun
tender,B2,C1,adjective,adjective
tension,B1,B2,noun,noun
terribly,B1,B2,adverb,adverb
terrific,B1,C1,adjective,adjective
terrify,A2,B2,verb,verb
terror,B1,B2,noun,noun
terrorism,B1,B2,noun,noun
terrorist,B1,B2,noun,noun
testify,B2,C1,verb,verb
testimony,B2,C1,noun,noun
textbook,A2,B2,noun,noun
theft,B1,B2,noun,noun
theirs,A2,B1,pronoun,pronoun
theme,B2,B1,noun,noun
thereafter,B2,C1,adverb,adverb
therefore,A2,B1,adverb,adverb
thick,A1,A2,adjective,adjective
thin,A1,A2,adjective,adjective
thirsty,A2,A1,adjective,adjective
thorough,B1,B2,adjective,adjective
thoughtful,B2,C1,adjective,adjective
thousand,A2,A1,number,number
thread,B2,C1,noun,noun
threat,B1,B2,noun,noun
thrilled,B2,C1,adjective,adjective
throat,B2,B1,noun,noun
thumb,B1,B2,noun,noun
